,date,quarter,DGS1,DGS10,DGS1MO,DGS2,DGS20,DGS3,DGS30,DGS3MO,DGS5,DGS6MO,DGS7
0,1980-01-01,1980Q1,,,,,,,,,,,
1,1980-01-02,1980Q1,11.89,10.5,,11.39,10.23,10.77,10.23,,10.52,,10.51
2,1980-01-03,1980Q1,12.25,10.6,,11.45,10.37,10.79,10.31,,10.54,,10.59
3,1980-01-04,1980Q1,12.25,10.66,,11.47,10.42,10.81,10.34,,10.62,,10.63
4,1980-01-05,1980Q1,,,,,,,,,,,
5,1980-01-06,1980Q1,,,,,,,,,,,
6,1980-01-07,1980Q1,12.07,10.63,,11.35,10.41,10.72,10.35,,10.56,,10.6
7,1980-01-08,1980Q1,11.94,10.57,,11.26,10.33,10.67,10.28,,10.52,,10.55
8,1980-01-09,1980Q1,11.87,10.58,,11.24,10.35,10.68,10.29,,10.53,,10.56
9,1980-01-10,1980Q1,11.68,10.51,,11.18,10.29,10.62,10.26,,10.47,,10.49
10,1980-01-11,1980Q1,11.94,10.68,,11.33,10.39,10.77,10.38,,10.61,,10.63
11,1980-01-12,1980Q1,,,,,,,,,,,
12,1980-01-13,1980Q1,,,,,,,,,,,
13,1980-01-14,1980Q1,11.96,10.7,,11.35,10.44,10.79,10.4,,10.61,,10.65
14,1980-01-15,1980Q1,11.88,10.65,,11.32,10.48,10.77,10.4,,10.61,,10.62
15,1980-01-16,1980Q1,11.83,10.65,,11.3,10.47,10.74,10.41,,10.6,,10.61
16,1980-01-17,1980Q1,11.9,10.71,,11.37,10.55,10.77,10.47,,10.62,,10.66
17,1980-01-18,1980Q1,12.05,10.82,,11.52,10.66,10.82,10.61,,10.74,,10.78
18,1980-01-19,1980Q1,,,,,,,,,,,
19,1980-01-20,1980Q1,,,,,,,,,,,
20,1980-01-21,1980Q1,12.15,10.96,,11.58,10.87,10.95,10.77,,10.86,,10.91
21,1980-01-22,1980Q1,12.06,10.85,,11.56,10.77,10.88,10.69,,10.8,,10.82
22,1980-01-23,1980Q1,11.96,10.82,,11.53,10.74,10.89,10.68,,10.76,,10.79
23,1980-01-24,1980Q1,12.15,11.01,,11.68,10.93,10.97,10.87,,10.9,,10.94
24,1980-01-25,1980Q1,12.24,11.1,,11.82,11.01,11.1,11.0,,11.04,,11.09
25,1980-01-26,1980Q1,,,,,,,,,,,
26,1980-01-27,1980Q1,,,,,,,,,,,
27,1980-01-28,1980Q1,12.16,11.15,,11.79,11.08,11.18,11.03,,11.08,,11.11
28,1980-01-29,1980Q1,12.34,11.21,,11.88,11.2,11.26,11.12,,11.14,,11.17
29,1980-01-30,1980Q1,12.29,11.16,,11.84,11.22,11.21,11.11,,11.12,,11.14
30,1980-01-31,1980Q1,12.4,11.13,,11.75,11.16,11.19,11.09,,11.11,,11.12
31,1980-02-01,1980Q1,12.62,11.29,,12.04,11.3,11.38,11.23,,11.3,,11.29
32,1980-02-02,1980Q1,,,,,,,,,,,
33,1980-02-03,1980Q1,,,,,,,,,,,
34,1980-02-04,1980Q1,12.67,11.4,,12.12,11.41,11.56,11.32,,11.38,,11.39
35,1980-02-05,1980Q1,12.91,11.73,,12.49,11.75,12.1,11.64,,11.8,,11.76
36,1980-02-06,1980Q1,12.84,11.92,,12.42,11.92,11.96,11.78,,11.86,,11.88
37,1980-02-07,1980Q1,12.68,11.71,,12.21,11.76,11.69,11.7,,11.61,,11.77
38,1980-02-08,1980Q1,12.89,11.8,,12.31,11.76,11.82,11.72,,11.76,,11.86
39,1980-02-09,1980Q1,,,,,,,,,,,
40,1980-02-10,1980Q1,,,,,,,,,,,
41,1980-02-11,1980Q1,13.1,12.01,,12.6,12.0,12.03,11.94,,11.91,,11.98
42,1980-02-12,1980Q1,,,,,,,,,,,
43,1980-02-13,1980Q1,12.92,11.86,,12.52,11.9,11.96,11.82,,11.86,,11.87
44,1980-02-14,1980Q1,13.11,11.97,,12.6,11.91,12.05,11.9,,11.93,,11.97
45,1980-02-15,1980Q1,13.76,12.2,,13.13,12.18,12.42,12.11,,12.26,,12.24
46,1980-02-16,1980Q1,,,,,,,,,,,
47,1980-02-17,1980Q1,,,,,,,,,,,
