,date,JPM,BAC,WFC,C,BK,JPM_ret,BAC_ret,WFC_ret,C_ret,BK_ret,port_ret,port_volume,quarter,DGS1,DGS10,DGS1MO,DGS2,DGS20,DGS3,DGS30,DGS3MO,DGS5,DGS6MO,DGS7,month,year,weekday,dayofweek,sentiment_bert,vader_neg,vader_neu,vader_pos,vader_compound,vader_compound_dummy,roberta_neg,roberta_neu,roberta_pos,roberta_compound,roberta_compound_dummy
1,2020-01-03,123.3705825805664,31.855945587158203,48.42818832397461,69.19747924804688,44.76686096191406,-0.0131962731663879,-0.0207633450294345,-0.0061394681617106,-0.018835528080098,-0.0127652601062024,-0.0092441211833557,99.07558788166445,2020Q1,1.55,1.8,1.52,1.53,2.11,1.54,2.26,1.52,1.59,1.55,1.71,1.0,2020.0,4.0,Friday,1.0,0.1616923076923077,0.7556153846153847,0.0826153846153846,-0.456776923076923,1.4615384615384617,0.4482053013948294,0.5115706748687304,0.0402239984474502,-0.407981302947379,1.2307692307692308
2,2020-01-06,123.27247619628906,31.81031036376953,48.13808441162109,68.98040771484375,45.18541717529297,-0.0007952169976442,-0.0014325496401861,-0.0059903936610798,-0.0031369861382523,0.0093496886845605,-0.0015215360573891,98.92484080229544,2020Q1,1.54,1.81,1.54,1.54,2.13,1.56,2.28,1.56,1.61,1.56,1.72,1.0,2020.0,0.0,Monday,1.0,0.101,0.7739999999999999,0.1245555555555555,0.1089888888888888,2.111111111111111,0.2394831404089927,0.6691164241896735,0.0914004486468102,-0.1480826917621824,1.8888888888888888
3,2020-01-07,121.17679595947266,31.60037612915039,47.73920822143555,68.38134002685547,45.63957977294922,-0.0170003905290213,-0.0065995657451441,-0.0082860835669075,-0.0086846063662706,0.0100510878519581,-0.0064992563815855,98.2819028994138,2020Q1,1.53,1.83,1.52,1.54,2.16,1.55,2.31,1.54,1.62,1.56,1.74,1.0,2020.0,1.0,Tuesday,1.1176470588235294,0.0959411764705882,0.7695294117647059,0.1345294117647058,0.2018647058823529,2.117647058823529,0.2193941370145801,0.5997167054344626,0.1808891623993129,-0.038504974615267,2.0
4,2020-01-08,122.12207794189452,31.91984367370605,47.88425064086914,68.90229034423828,45.693016052246094,0.0078008497826431,0.0101096120897421,0.0030382242361628,0.0076183110359964,0.0011708319744114,0.0037928739453666,98.65467376822204,2020Q1,1.55,1.87,1.5,1.58,2.21,1.61,2.35,1.54,1.67,1.56,1.78,1.0,2020.0,2.0,Wednesday,1.0,0.1486923076923077,0.7433846153846153,0.108,-0.1862692307692307,1.8461538461538465,0.2863373435460604,0.6385170060854691,0.0751456586787333,-0.211191684867327,1.5384615384615383
5,2020-01-09,122.56794738769533,31.97460556030273,47.80266952514648,69.52740478515625,45.84439849853516,0.0036510142417733,0.0017156063531034,-0.0017037149925247,0.0090724769495307,0.0033130324799741,0.000638083864988,98.71762372375916,2020Q1,1.54,1.85,1.53,1.58,2.17,1.59,2.38,1.54,1.65,1.56,1.77,1.0,2020.0,3.0,Thursday,1.0,0.1189047619047619,0.7531904761904762,0.128,0.0215809523809523,2.0476190476190474,0.3206941351915399,0.5364958757445926,0.1428099919465326,-0.1778841432450073,1.6666666666666667
6,2020-01-10,121.34620666503906,31.70989990234375,47.59415054321289,68.8067626953125,45.00730895996094,-0.0099678647533499,-0.0082786215285676,-0.0043620781852757,-0.0103648639276926,-0.0182593635425486,-0.0086269011891917,97.8659965382625,2020Q1,1.53,1.83,1.52,1.56,2.14,1.59,2.28,1.54,1.63,1.55,1.74,1.0,2020.0,4.0,Friday,1.3529411764705883,0.0906470588235294,0.8015294117647058,0.1078235294117647,0.0731470588235294,2.117647058823529,0.1756409702493863,0.6592434057418037,0.1651156188591437,-0.0105253513902425,1.8235294117647056
7,2020-01-13,122.35391235351562,32.00199890136719,47.24060821533203,70.02228546142578,45.310089111328125,0.0083043855771958,0.0092116026831685,-0.0074282726731274,0.0176657456113116,0.0067273551421735,-0.0006654670001069,97.80086994713368,2020Q1,1.53,1.85,1.54,1.58,2.16,1.6,2.3,1.57,1.65,1.57,1.76,1.0,2020.0,0.0,Monday,1.05,0.1042999999999999,0.7725,0.12315,0.153315,2.2,0.1937607057392597,0.6409915260970592,0.1652477460447698,-0.0285129596944898,1.95
8,2020-01-14,123.78079986572266,32.23931121826172,44.69318008422852,71.11625671386719,45.42584991455078,0.0116619688309136,0.0074155466858787,-0.0539245413499298,0.0156231868930365,0.0025548571078337,-0.0263082057401505,95.2279045389988,2020Q1,1.53,1.82,1.53,1.58,2.12,1.59,2.27,1.57,1.63,1.57,1.74,1.0,2020.0,1.0,Tuesday,1.0434782608695652,0.0987826086956521,0.7577826086956521,0.1434347826086956,0.1709217391304348,2.217391304347826,0.2082444932311773,0.5816750740227492,0.2100804240199858,0.0018359307888085,2.0
9,2020-01-15,121.92587280273438,31.64601325988769,43.80475234985352,70.5345230102539,45.14088821411133,-0.014985579871842,-0.0184029352971398,-0.0198783736735822,-0.0081800382991733,-0.0062731176406272,-0.0158433619945875,93.7191743754014,2020Q1,1.54,1.79,1.53,1.56,2.09,1.56,2.23,1.57,1.6,1.58,1.71,1.0,2020.0,2.0,Wednesday,1.0689655172413792,0.0661379310344827,0.8006551724137931,0.1331379310344827,0.3469551724137931,2.3793103448275863,0.1544858933073179,0.6440181172099607,0.2014959968369582,0.0470101035296403,1.9655172413793105
10,2020-01-16,122.39852905273438,31.6916446685791,44.64785385131836,70.32615661621094,41.60548782348633,0.003876586971534,0.0014419323001817,0.0192468044273204,-0.0029541050984732,-0.0783192473718276,-0.0049627524799679,93.25406931034934,2020Q1,1.54,1.81,1.54,1.58,2.11,1.58,2.26,1.55,1.63,1.56,1.73,1.0,2020.0,3.0,Thursday,1.4230769230769231,0.0726153846153846,0.7751538461538462,0.1522692307692307,0.2738153846153845,2.3076923076923075,0.1790914878320808,0.5981825979856344,0.2227259005348269,0.0436344127027461,2.0
11,2020-01-17,123.24571228027344,31.68251609802246,44.58438873291016,70.43035888671875,41.124603271484375,0.0069215147771428,-0.0002880434465331,-0.0014214595536784,0.0014817000604265,-0.0115582000634659,-0.0015658364885334,93.10804868591896,2020Q1,1.56,1.84,1.54,1.58,2.16,1.56,2.29,1.56,1.63,1.57,1.74,1.0,2020.0,4.0,Friday,1.3529411764705883,0.0707647058823529,0.8073529411764706,0.1219411764705882,0.2990823529411765,2.294117647058824,0.1994919460540746,0.5958162007086417,0.204691857619978,0.0051999115659033,2.0588235294117645
12,2020-01-21,122.03289031982422,31.271766662597656,44.366825103759766,69.37112426757812,41.65891647338867,-0.009840682795448,-0.0129645459392804,-0.0048798163512736,-0.015039460764985,0.0129925436210782,-0.002323787224595,92.89168539187564,2020Q1,1.54,1.78,1.52,1.53,2.1,1.53,2.23,1.56,1.57,1.57,1.69,1.0,2020.0,1.0,Tuesday,1.0,0.09175,0.7913,0.1169,0.148625,2.2,0.2858715074602514,0.5888036146759987,0.1253248754888772,-0.1605466319713741,1.8
